year	latitude	longitude	spd
1853	-4.2	9.95	165
1853	64.5	-108.2	165
1851	28	-94.8	80
1851	28	-95.4	80
1851	28	-96	80
1851	28.1	-96.5	80
1851	28.2	-96.8	80
1851	28.2	-97	70
1851	22.2	-97.6	80
1851	15.9	-58.5	70
1851	16.1	-60.4	70
1851	16.6	-62.5	80
1851	16.9	-64.1	80
1851	17.2	-66	90
1851	17.6	-67.6	90
1851	18	-69.3	90
1851	18.4	-71.1	70
1851	19.9	-75.9	70
1851	20.5	-77.6	70
1851	21.2	-79	70
1851	21.9	-80.4	70
1851	23.9	-83.6	70
1851	24.4	-84.3	70
1851	25	-84.9	80
1851	25.6	-85.5	80
1851	26.2	-86	90
1851	26.8	-86.3	90
1851	27.4	-86.5	100
1851	28	-86.6	100
1851	28.5	-86.6	100
1851	29.6	-86.1	100
1851	30.1	-85.7	100
1851	30.7	-85.1	90
1851	31.6	-84.1	70
1852	21.2	-70.6	70
1852	21.5	-71.9	70
1852	21.7	-73	70
1852	21.9	-74	70
1852	22.1	-74.9	80
1852	22.2	-76.1	80
1852	22.6	-77.1	80
1852	22.9	-78.1	80
1852	23.2	-79.3	90
1852	23.5	-80.1	90
1852	23.8	-81.1	90
1852	24.2	-82.1	90
1852	24.7	-83.1	90
1852	25.2	-83.9	90
1852	25.7	-84.6	90
1852	26.2	-85.3	90
1852	26.7	-86	100
1852	27.2	-86.6	100
1852	27.7	-87.1	100
1852	28.2	-87.5	100
1852	28.6	-87.8	100
1852	28.8	-88	100
1852	29.1	-88.2	100
1852	29.4	-88.4	100
1852	29.8	-88.6	100
1852	30.2	-88.6	100
1852	30.6	-88.5	90
1852	31.2	-88.1	70
1852	17	-64.1	70
1852	17.4	-65.1	70
1852	17.7	-66.1	70
1852	26.4	-90.4	70
1852	26.5	-89.6	70
1852	26.6	-88.8	70
1852	26.6	-88.1	70
1852	26.8	-87.4	70
1852	26.9	-86.6	70
1852	27.1	-86.1	70
1852	27.3	-85.6	70
1852	27.5	-85.1	70
1852	27.7	-84.6	70
1852	27.8	-84	70
1852	27.9	-83.4	70
1852	28	-82.8	70
1852	30.4	-77	70
1852	32	-74.5	70
1852	34	-71.5	70
1852	18.1	-63.1	70
1852	18.4	-63.7	70
1852	18.7	-64.3	70
1852	18.9	-65	70
1852	19.1	-65.8	70
1852	19.2	-66.6	70
1852	19.5	-67.4	80
1852	19.7	-68.1	80
1852	19.9	-68.8	80
1852	20	-69.6	80
1852	20.1	-70.3	80
1852	20.4	-70.9	80
1852	20.7	-71.6	80
1852	21	-72.1	80
1852	21.4	-73	80
1852	21.9	-73.6	80
1852	22.5	-74	80
1852	23.2	-74.4	80
1852	23.9	-74.6	80
1852	24.6	-74.6	80
1852	25.4	-74.5	80
1852	26.5	-74	80
1852	27.4	-73.5	80
1852	28.2	-72.9	80
1852	29	-72.3	80
1852	30.2	-71.5	80
1852	31.6	-70.5	70
1852	32.7	-69.6	70
1852	33.8	-69.1	70
1852	34.9	-68.6	70
1852	17	-73.8	90
1852	17.1	-75	90
1852	17.2	-76.3	90
1852	17.2	-77.8	90
1852	17.7	-79.6	90
1852	18.2	-81.5	90
1852	18.7	-83.1	90
1852	19.5	-84.4	90
1852	20.4	-85.5	90
1852	21.2	-86.4	90
1852	22.4	-86.9	90
1852	24	-86.8	90
1852	25.6	-86.4	90
1852	26.9	-85.9	90
1852	28	-85.5	90
1852	29.2	-84.9	90
1852	29.9	-84.4	90
1852	30.5	-83.9	80
1853	14.2	-38.5	70
1853	14.6	-40.5	70
1853	14.9	-42.3	80
1853	15.2	-43.9	80
1853	15.7	-45.7	90
1853	16.2	-47.3	90
1853	16.7	-49	100
1853	17.4	-51	110
1853	18.2	-52.8	120
1853	19.1	-54.6	130
1853	19.7	-56.2	130
1853	20.7	-58	130
1853	21.2	-59.9	120
1853	22	-61.8	120
1853	22.7	-63.7	120
1853	23.4	-65.3	120
1853	24.2	-67.1	120
1853	25	-68.6	120
1853	25.8	-70.1	120
1853	26.6	-71.1	120
1853	27.3	-72	120
1853	28.2	-72.9	120
1853	29.1	-73.5	120
1853	30.2	-74	120
1853	31.2	-74.3	110
1853	32.5	-74.1	110
1853	33.7	-73.9	100
1853	34.9	-72.9	100
1853	36	-71.6	100
1853	36.8	-69.9	100
1853	37.5	-67.9	100
1853	38.2	-65.4	100
1853	39	-62.3	100
1853	39.9	-59.4	90
1853	40.8	-56.8	80
1853	41.9	-53.4	70
1853	42.9	-49.5	70
1853	43.9	-45.5	70
1853	45	-41.2	70
1853	46.2	-36.2	70
1853	37	-53	100
1853	38	-51	100
1853	39	-49	100
1853	40	-46.8	100
1853	41.3	-44	100
1853	42.5	-41.5	100
1853	43.4	-39.3	100
1853	44.5	-37.2	100
1853	45.5	-34.7	100
1853	46.3	-32.3	100
1853	47	-30	90
1853	48	-27.5	90
1853	36	-59.8	70
1853	36.7	-58.4	70
1853	36.8	-57.4	70
1853	36.3	-56.7	70
1853	35.5	-56.9	70
1853	35.5	-57	70
1853	35.4	-57.2	70
1853	35.3	-57.4	70
1853	35.3	-57.7	70
1853	35.4	-57.9	70
1853	35.5	-58.1	70
1853	35.5	-58.2	70
1853	35.8	-58.3	70
1853	36.3	-58	70
1853	37	-57.5	70
1853	38	-56.8	70
1853	27.5	-78.5	70
1853	28	-78.9	70
1853	28.5	-79.3	80
1853	28.9	-79.6	80
1853	29.3	-79.9	80
1853	29.7	-80.2	80
1853	30	-80.5	90
1853	30.3	-80.7	90
1853	30.6	-80.9	90
1853	30.9	-80.9	90
1853	31.3	-80.6	80
1853	31.7	-80.1	80
1853	32.1	-79.4	80
1853	32.5	-78.5	80
1854	26	-93.5	70
1854	26	-94	70
1854	26	-94.7	70
1854	26.1	-95.7	70
1854	26.2	-97	70
1854	26.4	-76.6	110
1854	27.2	-77.6	110
1854	28	-78.6	110
1854	28.8	-79.6	110
1854	29.6	-80.3	110
1854	30.4	-80.6	110
1854	31.1	-80.9	100
1854	31.6	-81.1	100
1854	31.7	-81.1	100
1854	32	-81.3	80
1854	32.5	-81.5	70
1854	38.8	-69.5	70
1854	39	-67.3	80
1854	39.4	-65	90
1854	39.5	-61.8	90
1854	39.8	-58.3	90
1854	40	-55.1	90
1854	40	-52	80
1854	40.2	-48	80
1854	28.2	-93.6	90
1854	28.4	-94.1	90
1854	28.6	-94.6	90
1854	28.8	-95.1	90
1854	28.9	-95.3	90
1854	29	-95.6	80
1854	29.2	-96.1	70
1855	22.2	-98	90
1855	44	-42	90
1855	46	-39	90
1855	48	-36	90
1855	50	-32.5	90
1855	52	-29	90
1855	54	-24	90
1855	12.5	-83	70
1855	26.7	-89.1	70
1855	27.1	-89.1	80
1855	27.5	-89.3	90
1855	28.1	-89.4	100
1855	28.8	-89.5	110
1855	29.6	-89.5	110
1855	30.2	-89.4	100
1855	31	-89.1	70
1856	25	-83.9	70
1856	25.7	-85.1	80
1856	26.3	-86.5	90
1856	27	-87.8	100
1856	27.7	-89.1	110
1856	28.2	-89.8	120
1856	28.7	-90.5	130
1856	29.2	-91.1	130
1856	29.7	-91.6	110
1856	30	-91.8	80
1856	12.1	-56.1	70
1856	12.1	-57.3	70
1856	12.1	-58.5	70
1856	12.1	-60.1	70
1856	12.1	-61.8	70
1856	12.1	-63.2	70
1856	12.1	-64.5	70
1856	12.1	-65.6	70
1856	21	-69.8	70
1856	21	-70.8	70
1856	21.1	-71.9	70
1856	21.2	-72.8	70
1856	21.6	-73.9	70
1856	21.7	-74.8	70
1856	22	-75.9	80
1856	22.2	-76.6	80
1856	22.4	-77.6	80
1856	22.6	-78.6	80
1856	22.7	-79.5	90
